"plant" "nectar_holder_depth_mm" "pollinator" "IT_mm"
"1" "Aetheorhiza_bulbosa" 2 "Nomada_sp" 1.57
"2" "Aetheorhiza_bulbosa" 2 "Lasioglossum_sp" 1.36
"3" "Aetheorhiza_bulbosa" 2 "Lasioglossum_gemmeus" 1.33
"4" "Aetheorhiza_bulbosa" 2 "Andrena_cinerea" 2.22
"5" "Aetheorhiza_bulbosa" 2 "Andrena_cinerea" 2.15
"6" "Allium_ampeloprasum" 1 "Halictus_sp" 1.15
"7" "Allium_ampeloprasum" 1 "Halictus_sp" 1.76
"8" "Allium_ampeloprasum" 1 "Lasioglossum_sp" 1.31
"9" "Allium_ampeloprasum" 1 "Halictus_pyrenaicus" 1.83
"10" "Allium_ampeloprasum" 1 "Lasioglossum_smaragdulus??" 1.26
"11" "Allium_ampeloprasum" 1 "Megachile_pilicrus" 2.35
"12" "Alyssum_maritimum" 2.5 "Andrena_sp" 1.84
"13" "Alyssum_maritimum" 2.5 "Andrena_sp" 1.3
"14" "Brassica_fruticulosa" 7 "Colletes_sp" 2.13
"15" "Carpobrotus_aff.acinaciformis" 0 "Bombus_terrestris" 4.85
"16" "Carpobrotus_aff.acinaciformis" 0 "Osmia_cornuta" 2.58
"17" "Carpobrotus_aff.acinaciformis" 0 "Xylocopa_iris" 3.62
"18" "Carpobrotus_aff.acinaciformis" 0 "Osmia_aurulenta" 2.75
"19" "Carpobrotus_aff.acinaciformis" 0 "Andrena_sp" 2.14
"20" "Carpobrotus_aff.acinaciformis" 0 "Halictus_pyrenaicus" 2.33
"21" "Carpobrotus_aff.acinaciformis" 0 "Andrena_sp" 1.87
"22" "Carpobrotus_aff.acinaciformis" 0 "Anthidium_septemspinosum" 3.29
"23" "Carpobrotus_aff.acinaciformis" 0 "Halictus_pyrenaicus" 2.39
"24" "Carpobrotus_aff.acinaciformis" 0 "Anthidium_sticticum" 3.64
"25" "Carpobrotus_aff.acinaciformis" 0 "Osmia_aurulenta" 2.55
"26" "Carpobrotus_aff.acinaciformis" 0 "Eucera_collaris" 3.2
"27" "Carpobrotus_aff.acinaciformis" 0 "Bombus_terrestris" 4.39
"28" "Carpobrotus_aff.acinaciformis" 0 "Apis_mellifera" 2.9
"29" "Carpobrotus_aff.acinaciformis" 0 "Apis_mellifera" 2.74
"30" "Carpobrotus_aff.acinaciformis" 0 "Lasioglossum_sp" 1.55
"31" "Carpobrotus_aff.acinaciformis" 0 "Halictus??_sp" 2.32
"32" "Carpobrotus_aff.acinaciformis" 0 "Andrena_sp" 1.69
"33" "Carpobrotus_aff.acinaciformis" 0 "Dasypoda_cingulata" 2.51
"34" "Carpobrotus_aff.acinaciformis" 0 "Osmia_aurulenta" 2.04
"35" "Carpobrotus_aff.acinaciformis" 0 "Halictus_pyrenaicus" 2.31
"36" "Carpobrotus_aff.acinaciformis" 0 "Lasioglossum_sp" 1.44
"37" "Carpobrotus_aff.acinaciformis" 0 "Anthidium_sticticum" 3.58
"38" "Carpobrotus_aff.acinaciformis" 0 "Bombus_terrestris" 4.02
"39" "Cistus_albidus" 0 "Bombus_terrestris" 4.28
"40" "Cistus_albidus" 0 "Osmia_sp" 4.07
"41" "Cistus_albidus" 0 "Andrena??_sp" 1.62
"42" "Cistus_albidus" 0 "Anthidium_sticticum" 3.38
"43" "Cistus_albidus" 0 "Lasioglossum_sp" 1.72
"44" "Cistus_albidus" 0 "Andrena_sp" 2.11
"45" "Cistus_albidus" 0 "Andrena_sp" 2.12
