"Plant.species" "Grasshopper.species" "Herbivory" "G.Body.size.mm" "G.Incisive.strength" "G.Carbon.nitrogen.ratio" "G.Species.name" "P.Leaf.dry.matter.content" "P.Leaf.nitrogen.content.dry.mass" "P.Leaf.carbon.content.dry.mass" "P.Leaf.carbon.nitrogen.ratio" "P.Leaf.thickness.mm" "P.Leaf.area.cm" "P.Perimeter.leaf.lenght.ratio" "P.Species.name"
"1" "ACHMIL" "Ci" 81.6666666667 18.25 0.06 3.85 "Calliptamus italicus" 19.2345423725 1.9921429 43.2041749 21.6872870415 0.3446543253 8.210625 3.110525652 "Achillea  millefolium"
"2" "ACHMIL" "Cd" 5.625 15.76 0.1 4.13 "Chorthippus dorsatus" 19.2345423725 1.9921429 43.2041749 21.6872870415 0.3446543253 8.210625 3.110525652 "Achillea  millefolium"
"3" "ARRELA" "Cb" 53.6666666667 14.69 0.09 4 "Chorthippus biguttulus" 31.5850903667 2.9384874615 45.0858496231 15.3432166083 0.126898478 15.7284500002 2.0912920729 "Arrhenatherum elatius"
"4" "ARRELA" "Cd" 59.9305555556 15.76 0.1 4.13 "Chorthippus dorsatus" 31.5850903667 2.9384874615 45.0858496231 15.3432166083 0.126898478 15.7284500002 2.0912920729 "Arrhenatherum elatius"
"5" "ARRELA" "Ci" 7.6 18.25 0.06 3.85 "Calliptamus italicus" 31.5850903667 2.9384874615 45.0858496231 15.3432166083 0.126898478 15.7284500002 2.0912920729 "Arrhenatherum elatius"
"6" "ARRELA" "Pg" 0.2380952381 11.38 0.05 4.3 "Pezotettix giornae " 31.5850903667 2.9384874615 45.0858496231 15.3432166083 0.126898478 15.7284500002 2.0912920729 "Arrhenatherum elatius"
"7" "ARRELA" "Ee" 51.25 14.37 0.11 4.04 "Euchorthippus elegantulus" 31.5850903667 2.9384874615 45.0858496231 15.3432166083 0.126898478 15.7284500002 2.0912920729 "Arrhenatherum elatius"
"8" "ARRELA" "Pp" 33.8541666667 14.51 0.08 3.82 "Pseudochorthippus parallelus" 31.5850903667 2.9384874615 45.0858496231 15.3432166083 0.126898478 15.7284500002 2.0912920729 "Arrhenatherum elatius"
"9" "BROERE" "Cb" 27.6041666667 14.69 0.09 4 "Chorthippus biguttulus" 32.1126886619 1.68980509 44.32524241 26.2309793433 0.1753673116 9.8190846521 2.0304311508 "Bromus erectus"
"10" "BROERE" "Cd" 46.0738636364 15.76 0.1 4.13 "Chorthippus dorsatus" 32.1126886619 1.68980509 44.32524241 26.2309793433 0.1753673116 9.8190846521 2.0304311508 "Bromus erectus"
"11" "BROERE" "Ci" 8.8125 18.25 0.06 3.85 "Calliptamus italicus" 32.1126886619 1.68980509 44.32524241 26.2309793433 0.1753673116 9.8190846521 2.0304311508 "Bromus erectus"
"12" "BROERE" "Ee" 48.6324786325 14.37 0.11 4.04 "Euchorthippus elegantulus" 32.1126886619 1.68980509 44.32524241 26.2309793433 0.1753673116 9.8190846521 2.0304311508 "Bromus erectus"
"13" "BROERE" "Pp" 43.9119047619 14.51 0.08 3.82 "Pseudochorthippus parallelus" 32.1126886619 1.68980509 44.32524241 26.2309793433 0.1753673116 9.8190846521 2.0304311508 "Bromus erectus"
"14" "BROERE" "Pg" 0.9523809524 11.38 0.05 4.3 "Pezotettix giornae " 32.1126886619 1.68980509 44.32524241 26.2309793433 0.1753673116 9.8190846521 2.0304311508 "Bromus erectus"
"15" "CARSp" "Ci" 23.75 18.25 0.06 3.85 "Calliptamus italicus" 12.9479565988 2.0362822 43.9338755 21.5755338332 0.3565157863 16.784875 3.1121086458 "Carpinus sp."
"16" "CENJAC" "Ci" 100 18.25 0.06 3.85 "Calliptamus italicus" 15.4953367064 2.6019465333 44.5067121167 17.1051601355 0.3069617209 17.0544999997 2.0295724031 "Centaurea  jacea"
"17" "CENJAC" "Cb" 30.4166666667 14.69 0.09 4 "Chorthippus biguttulus" 15.4953367064 2.6019465333 44.5067121167 17.1051601355 0.3069617209 17.0544999997 2.0295724031 "Centaurea  jacea"
"18" "CENJAC" "Pg" 56.25 11.38 0.05 4.3 "Pezotettix giornae " 15.4953367064 2.6019465333 44.5067121167 17.1051601355 0.3069617209 17.0544999997 2.0295724031 "Centaurea  jacea"
"19" "CONARV" "Cb" 15 14.69 0.09 4 "Chorthippus biguttulus" 18.4182410079 4.2473735 45.7671073 10.7753903206 0.1914158329 2.4367515874 2.8309970795 "Convolvulus  arvensis"
"20" "CONARV" "Pg" 38.3333333333 11.38 0.05 4.3 "Pezotettix giornae " 18.4182410079 4.2473735 45.7671073 10.7753903206 0.1914158329 2.4367515874 2.8309970795 "Convolvulus  arvensis"
"21" "DACGLO" "Cb" 27.3611111111 14.69 0.09 4 "Chorthippus biguttulus" 28.4726843319 2.58315133 44.5695516367 17.2539452563 0.1543875253 16.277517021 2.0734284736 "Dactylis glomerata "
"22" "DACGLO" "Cd" 28.5763888889 15.76 0.1 4.13 "Chorthippus dorsatus" 28.4726843319 2.58315133 44.5695516367 17.2539452563 0.1543875253 16.277517021 2.0734284736 "Dactylis glomerata "
"23" "DACGLO" "Pg" 1.9841269841 11.38 0.05 4.3 "Pezotettix giornae " 28.4726843319 2.58315133 44.5695516367 17.2539452563 0.1543875253 16.277517021 2.0734284736 "Dactylis glomerata "
"24" "DACGLO" "Ci" 3.7 18.25 0.06 3.85 "Calliptamus italicus" 28.4726843319 2.58315133 44.5695516367 17.2539452563 0.1543875253 16.277517021 2.0734284736 "Dactylis glomerata "
